Species,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds),Avoided Value ($),Removal Value ($)
Afghan pine(Pinus eldarica),"6,040.2",$140.48,"11,960.9",$278.17,"6,695.6","$1,370.59",17.0,$220.30,3.0,"17,760.0","5,822.0",$52.03,18.83,0.43,1.83,1.53,1.30,3.45,2.19,0.27,$12.44,$116.45
Littleleaf linden(Tilia cordata),"1,722.0",$40.05,"7,459.4",$173.48,"2,288.8",$468.52,2.8,$36.61,1.9,"22,079.6","7,238.1",$64.68,19.53,0.12,1.67,0.44,1.20,1.16,0.74,0.12,$4.13,$66.91
Baldcypress(Taxodium distichum),"4,144.6",$96.39,"10,004.3",$232.67,"5,530.3","$1,132.06",6.7,$86.65,2.5,"20,470.7","6,710.6",$59.97,19.71,0.30,1.69,1.05,1.21,2.81,1.80,0.13,$9.98,$69.87
European hornbeam(Carpinus betulus),"1,966.1",$45.73,"4,971.7",$115.63,"2,617.2",$535.75,3.2,$41.53,1.3,"22,248.4","7,293.4",$65.17,19.75,0.14,1.69,0.50,1.22,1.33,0.85,0.12,$4.73,$67.61
Kurrajong(Brachychiton populneus),"4,363.1",$101.47,"12,687.8",$295.08,"4,794.2",$981.37,12.5,$162.06,3.2,"19,814.9","6,495.7",$58.05,20.75,0.31,2.02,1.10,1.43,2.47,1.57,0.30,$8.92,$128.08
Jeffrey pine(Pinus jeffreyi),"6,040.2",$140.48,"8,263.2",$192.18,"6,695.6","$1,370.59",17.0,$220.30,2.1,"20,698.7","6,785.4",$60.63,20.94,0.43,2.03,1.53,1.45,3.45,2.19,0.29,$12.44,$125.47
Japanese zelkova(Zelkova serrata),"3,670.2",$85.36,"4,831.5",$112.37,"4,898.9","$1,002.81",5.9,$76.63,1.2,"23,315.2","7,643.1",$68.30,20.98,0.26,1.79,0.93,1.29,2.49,1.59,0.13,$8.84,$72.34
Buckley oak(Quercus buckleyi),"4,041.3",$93.99,"4,848.5",$112.76,"5,393.5","$1,104.06",6.5,$84.42,1.2,"23,912.5","7,838.9",$70.05,21.60,0.29,1.85,1.02,1.33,2.74,1.75,0.14,$9.73,$74.61
California laurel(Umbellularia californica),"5,710.6",$132.81,"13,145.7",$305.73,"6,323.7","$1,294.46",16.1,$208.74,3.3,"25,787.6","8,453.6",$75.54,21.94,0.41,2.10,1.45,1.54,3.25,2.07,0.26,$11.75,$117.85
Black tupelo(Nyssa sylvatica),"4,299.3",$99.99,"8,416.8",$195.75,"5,736.8","$1,174.32",6.9,$89.89,2.1,"26,294.1","8,619.7",$77.03,22.79,0.31,1.94,1.09,1.40,2.91,1.87,0.14,$10.35,$77.46
Oregon ash(Fraxinus latifolia),"4,156.4",$96.67,"7,519.3",$174.88,"5,547.7","$1,135.62",6.7,$86.79,1.9,"26,204.2","8,590.2",$76.76,22.86,0.30,1.95,1.05,1.41,2.81,1.80,0.14,$10.01,$77.72
London plane(Platanus x acerifolia),"3,710.9",$86.30,"5,723.2",$133.11,"4,953.4","$1,013.96",6.0,$77.47,1.4,"26,304.6","8,623.1",$77.06,23.99,0.27,2.05,0.94,1.47,2.51,1.61,0.15,$8.94,$83.23
Shoestring acacia(Acacia stenophylla),"5,730.6",$133.28,"5,887.0",$136.91,"6,335.2","$1,296.82",16.2,$210.19,1.5,"22,088.9","7,241.1",$64.71,24.29,0.41,2.37,1.45,1.67,3.26,2.07,0.37,$11.78,$154.42
Chestnut-leaved oak(Quercus castaneifolia),"4,041.3",$93.99,"9,716.8",$225.98,"5,393.5","$1,104.06",6.5,$84.42,2.4,"27,236.9","8,928.7",$79.79,25.27,0.29,2.17,1.02,1.55,2.74,1.75,0.16,$9.73,$88.22
Northern red oak(Quercus rubra),"4,045.9",$94.10,"9,961.3",$231.67,"5,401.4","$1,105.66",6.5,$84.40,2.5,"29,512.5","9,674.7",$86.45,26.08,0.29,2.23,1.02,1.61,2.74,1.76,0.16,$9.75,$89.03
Shumard oak(Quercus shumardii),"4,041.3",$93.99,"8,536.9",$198.54,"5,393.5","$1,104.06",6.5,$84.42,2.1,"29,341.1","9,618.5",$85.95,26.87,0.29,2.30,1.02,1.65,2.74,1.75,0.17,$9.73,$93.26
European hackberry(Celtis australis),"3,971.2",$92.36,"1,793.6",$41.71,"5,301.3","$1,085.17",6.4,$82.87,0.5,"31,469.0","10,316.1",$92.18,28.43,0.29,2.43,1.01,1.75,2.69,1.72,0.18,$9.57,$98.14
California white oak(Quercus lobata),"4,306.0",$100.14,"12,732.2",$296.11,"5,748.0","$1,176.62",6.9,$89.87,3.2,"37,476.8","12,285.6",$109.78,34.80,0.31,2.98,1.09,2.14,2.92,1.87,0.22,$10.37,$121.34
Live oak(Quercus virginiana),"2,493.7",$57.99,"16,574.5",$385.47,"2,841.6",$581.67,6.6,$85.62,4.2,"54,669.9","17,921.8",$160.15,35.30,0.18,3.31,0.63,2.52,1.46,0.93,0.32,$5.26,$163.13
River birch(Betula nigra),"4,272.1",$99.36,"19,377.3",$450.66,"5,702.6","$1,167.33",6.9,$89.17,4.8,"42,999.1","14,095.8",$125.96,35.57,0.31,3.02,1.08,2.20,2.89,1.85,0.20,$10.29,$118.29
Scarlet oak(Quercus coccinea),"4,306.0",$100.14,"19,629.0",$456.51,"5,748.0","$1,176.62",6.9,$89.87,4.9,"45,974.0","15,071.1",$134.68,39.40,0.31,3.35,1.09,2.43,2.92,1.87,0.23,$10.37,$132.86
Willow oak(Quercus phellos),"4,043.5",$94.04,"16,154.9",$375.71,"5,397.3","$1,104.84",6.5,$84.41,4.0,"45,602.3","14,949.2",$133.59,43.33,0.29,3.72,1.02,2.66,2.74,1.76,0.29,$9.74,$152.39
Total,"227,047.8","$5,280.43","437,286.2","$10,169.93","277,183.0","$56,739.36",504.2,"$6,523.72",109.7,"1,154,979.0","378,622.4","$3,383.37","1,026.50",16.33,91.58,57.48,66.12,141.56,90.34,8.83,$507.00,"$4,371.94"
